mean_otu_diversity,lon,lat,ai,et0,cities_1,cities_2,cities_3,cities_4,cities_5,cities_6,cities_7,cities_8,cities_9,cities_10,cities_11,cities_12,ports_1,ports_2,ports_3,ports_4,ports_5,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,bio36,bio37,bio38,bio39,bio40,biomass,HDI,GDP_per_capita_PPP,popcou,popdens,DTI,APR_Corn_Chlorpyrifos_2020_H,APR_Corn_Chlorpyrifos_2020_L,APR_Corn_Glufosinate_2020_H,APR_Corn_Glufosinate_2020_L,APR_Soybean_Glufosinate_2020_H,APR_Soybean_Glufosinate_2020_L,APR_Soybean_Glyphosate_2020_H,APR_Soybean_Glyphosate_2020_L,bdod,cec,cfvo,clay,nitrogen,ocd,ocs,phh2o,sand,silt,soc,elevation,PFT0,PFT1,PFT2,PFT3,PFT4,PFT5,PFT6,PFT7,PFT8,PFT9,PFT10,PFT11,PFT12,PFT13,PFT14,PFT15,PFT16,PFT17,PFT18,PFT19,PFT20,PFT21,PFT22,PFT23,PFT24,PFT25,PFT26,PFT27,PFT28,PFT29,PFT30,PFT31,PFT32
6,-157.75,64.49,5986,574,5817,4582,4432,4774,2886,4450,2529,2846,2542,2529,2886,2529,4634,4037,1828,1016,1016,-2.8916667,9.083333,20.095871,1364.985596,20.5,-24.7000008,45.2000008,11.6999998,-3.4166667,13.9833336,-19.0499992,344,66,12,54.0346336,156,49,149,59,77.8597641,172.0800018,2.5353301,0.756402,116.8386536,110.8966751,144.7979431,12.275259,0.623827,0.775214,0.385144,0.1973115,0.762616,0.4405224,0.5015304,0.6704806,-0.878096,-0.068514,-0.175901,-0.511075,-0.136203,1650,0.8863764,43268.66016,0,0,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,63,430,15,165,10622,653,81,57,257,578,2482,44,7,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.25,-120.42,50.85,5158,961,1396,225,508,378,197,219,101,98,26,29,197,26,248,236,249,211,211,4.104167,11.5083332,33.2610779,833.6842041,22.7000008,-11.8999996,34.5999985,12.0166664,-0.1666666,14.2000008,-6.2166667,512,65,23,25.5447979,167,89,161,112,116.4315186,213.0110016,27.9459991,0.559765,198.1548462,110.9687347,190.9397736,40.0573921,0.6059146,0.912858,0.413985,0.2835047,0.8597059,0.4292358,0.4296536,0.8407827,-0.268205,-0.422287,0.4557,-0.143964,0.325345,3850,0.8519692,32297.05469,0.017286,0.0318185,2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,106,245,96,209,4878,349,45,61,394,397,383,1155,0,0,99.5999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.1,0,0
10.5,-120.3,50.93,5665,972,1393,222,489,375,195,216,98,95,23,26,195,23,243,231,245,206,206,4.3499999,11.3833332,32.9951706,830.7253418,22.8999996,-11.6000004,34.5,12.25,0.1,14.4499998,-5.9000001,557,71,25,26.470459,181,95,173,124,116.6714935,213.7489929,27.7952995,0.5612488,198.83815,111.1031647,195.8647766,39.9490013,0.5143884,0.815305,0.343118,0.3152446,0.7603992,0.3592801,0.3592801,0.7500513,-0.278608,-0.456879,0.293675,0.12771,0.465834,3850,0.8519692,32297.05469,0,0,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,103,249,138,224,5201,354,46,60,348,428,453,1175,0,98,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.75,-120.35,50.9,5424,953,1391,220,496,372,192,213,96,93,20,24,192,20,257,245,258,220,220,4.1583333,11.4833336,33.3817825,825.7388916,22.6000004,-11.8000002,34.4000015,12,-0.0333335,14.1333332,-6.0999999,525,67,23,26.9022636,174,88,164,114,116.4315186,213.0110016,27.9459991,0.559765,198.1548462,110.9687347,190.9397736,40.0573921,0.6059146,0.912858,0.413985,0.2835047,0.8597059,0.4292358,0.4296536,0.8407827,-0.268205,-0.422287,0.4557,-0.143964,0.325345,3850,0.8519692,32297.05469,0,0,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,104,250,145,222,4642,352,42,61,352,425,410,999,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.75,-122.62,54.37,8571,837,1676,490,514,653,477,498,434,220,41,45,477,41,498,502,460,463,460,3.2250001,10.7333336,30.2347412,905.1607056,21.5,-14,35.5,-2.7,-1.3666667,14.0333338,-8.2333336,718,75,35,21.3621979,207,124,202,184,107.4093704,199.595993,21.4547005,0.6010373,28.9751225,124.6689987,183.0726929,32.978447,0.8454837,1.0904416,0.561976,0.2390702,1.0790387,0.5943582,0.5936229,1.0727329,-0.224107,0.021547,0.5449,-1.625911,0.931452,3300,0.8519692,32297.05469,0.0033412,0.006665,4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,92,272,111,271,6288,475,57,59,307,422,326,762,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.75,-126.3,54.62,7737,737,1830,644,670,807,631,652,588,210,207,201,631,201,652,307,265,289,265,1.2666667,10.9833336,32.3992119,823.8610229,18.5,-15.3999996,33.9000015,11.1499996,-3.05,11.1499996,-9.1000004,567,65,25,25.0601177,171,90,171,141,102.3979797,193.3529968,18.9372997,0.6176153,25.7178764,109.8401566,170.8300781,30.1470394,0.7178789,1.0406761,0.491235,0.2838124,1.0035014,0.5012403,0.501735,1.0021191,-0.215887,-0.160697,0.150978,-1.961655,0.562862,3300,0.8519692,32297.05469,0.3995915,0.8019904,3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,95,344,133,181,7804,528,64,56,356,463,341,1135,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,-121.92,52.32,5861,917,1543,358,615,520,344,366,302,299,76,201,344,76,366,376,394,330,330,3.8458333,11.2416668,32.870369,822.1326294,21.7999992,-12.3999996,34.1999969,13.7333336,-0.45,13.7333336,-6.5,538,68,23,30.1581116,181,77,181,120,113.0477676,205.6130066,26.6959991,0.5649311,192.3002319,109.3943787,188.9389191,38.4505386,0.6677971,1.0115961,0.468782,0.2810107,0.9473658,0.4841855,0.4870614,0.9324924,-0.370567,-0.155207,0.476152,0.056506,0.418383,3300,0.8519692,32297.05469,0.1805599,0.3432655,4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,108,312,130,202,4813,408,45,61,331,467,325,1062,0,0,99.5599976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.1,0,0
6,-123.94,45.06,29860,910,894,73,698,53,362,188,47,43,6,47,53,6,85,91,98,21,21,9.6750002,8.9499998,49.175827,351.4030151,20.2999992,2.0999999,18.1999989,6.0999999,13.7666664,14.333333,5.8166666,2719,447,40,65.6961212,1273,182,191,1191,122.2968445,227.7189941,35.8732986,0.5337597,42.531601,203.1283875,193.4908447,45.8988228,1.2695534,1.875885,0.50011,0.3503188,1.8097576,0.6543542,0.6543542,1.7746053,-0.016046,2.829128,0.299572,-1.819744,3.93242,3300,0.8678135,34269.83594,1.8672355,3.0719099,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,93,673,53,325,15628,874,96,46,268,407,2108,252,0,88.9599991,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
3,-123.94,45.07,28224,899,895,74,699,54,363,189,48,44,7,48,54,7,86,92,98,22,22,10.0291672,8.875,48.7637367,357.6340027,20.6000004,2.4000001,18.2000008,6.2833333,14.1833334,14.6833334,5.9500003,2539,411,41,64.2373886,1177,179,187,1097,122.2968445,227.7189941,35.8732986,0.5337597,42.531601,203.1283875,193.4908447,45.8988228,1.2695534,1.875885,0.50011,0.3503188,1.8097576,0.6543542,0.6543542,1.7746053,-0.016046,2.829128,0.299572,-1.819744,3.93242,3300,0.8678135,34269.83594,3.9735212,6.5380507,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,87,655,73,344,14330,766,106,46,242,413,2112,211,0,88.9599991,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
9.333333333,-122.14,44.39,19080,1141,828,110,632,72,359,223,54,45,30,54,72,30,122,130,170,108,108,5.6291666,11.6416664,44.4338417,526.5818481,22,-4.1999998,26.2000008,0.7166668,12.1499996,12.7166662,0.2333334,2178,367,30,65.9558945,1038,152,163,968,126.7269745,237.3650055,37.3913002,0.5354676,43.8140068,212.1302338,208.1693878,47.2195473,1.0966635,1.68093,0.345922,0.4098234,1.6192149,0.4524575,0.4629605,1.5901124,-0.188768,2.213661,-0.082466,-1.8071001,3.9402859,3300,0.8678135,34269.83594,0,0,2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,84,590,120,112,11376,480,57,51,460,428,3329,1477,0,0,91.5800018,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.4,0
