y,x,lat_lon1
20.086,-155.829,20.086###-155.829
20.098,-155.805,20.098###-155.805
20.099,-155.793,20.099###-155.793
20.105,-155.787,20.105###-155.787
20.108,-155.783,20.108###-155.783
20.108,-155.77,20.108###-155.77
20.123,-155.764,20.123###-155.764
20.126,-155.764,20.126###-155.764
20.123,-155.772,20.123###-155.772
20.109,-155.727,20.109###-155.727
20.122,-155.774,20.122###-155.774
37.475383,-121.9729,37.475383###-121.9729
37.474067,-121.973033,37.474067###-121.973033
17.954767,-67.196933,17.954767###-67.196933
17.95385,-67.196717,17.95385###-67.196717
17.95435,-67.196183,17.95435###-67.196183
17.951083,-67.193167,17.951083###-67.193167
17.950367,-67.19295,17.950367###-67.19295
17.950617,-67.193417,17.950617###-67.193417
42.444,-76.502,42.444###-76.502
42.17566,-72.7,42.17566###-72.7
42.30844,-71.3412,42.30844###-71.3412
42.06,-71.37761,42.06###-71.37761
32.76,81.73,32.76###81.73
33.37,80.57,33.37###80.57
33.48,79.79,33.48###79.79
32.43,82.95,32.43###82.95
32.12,84.74,32.12###84.74
32.47,83.22,32.47###83.22
31.85,87.47,31.85###87.47
30.65,82.14,30.65###82.14
33.12,80.38,33.12###80.38
33.06,80.38,33.06###80.38
33.11,80.16,33.11###80.16
29.21,87.4,29.21###87.4
34.59,80.37,34.59###80.37
33.04,80.48,33.04###80.48
29.45,96.79,29.45###96.79
34.6,80.25,34.6###80.25
32.58,82.21,32.58###82.21
32.54,82.43,32.54###82.43
37.17907778,-3.611505556,37.17907778###-3.611505556
37.32196944,-3.131269444,37.32196944###-3.131269444
37.19090278,-2.992936111,37.19090278###-2.992936111
37.32654722,-3.059219444,37.32654722###-3.059219444
37.34600556,-3.061197222,37.34600556###-3.061197222
37.28454722,-2.985819444,37.28454722###-2.985819444
37.18823889,-2.956325,37.18823889###-2.956325
37.37229722,-3.066655556,37.37229722###-3.066655556
37.40583611,-3.082122222,37.40583611###-3.082122222
37.32783056,-3.138858333,37.32783056###-3.138858333
37.38953889,-3.098552778,37.38953889###-3.098552778
37.28771389,-3.002538889,37.28771389###-3.002538889
37.31888611,-3.087372222,37.31888611###-3.087372222
37.12272222,-3.618477778,37.12272222###-3.618477778
37.17932778,-2.957352778,37.17932778###-2.957352778
37.29330833,-3.106508333,37.29330833###-3.106508333
37.413825,-2.965858333,37.413825###-2.965858333
37.14837778,-3.411569444,37.14837778###-3.411569444
37.43306389,-3.103047222,37.43306389###-3.103047222
37.25371111,-3.029825,37.25371111###-3.029825
37.43155278,-3.055088889,37.43155278###-3.055088889
37.31146944,-3.119497222,37.31146944###-3.119497222
37.32240556,-3.128919444,37.32240556###-3.128919444
37.29563056,-3.133847222,37.29563056###-3.133847222
37.31399167,-3.056652778,37.31399167###-3.056652778
37.28737778,-3.124088889,37.28737778###-3.124088889
37.3,-3.183333333,37.3###-3.183333333
35.117,138.937,35.117###138.937
40.748,-74.001,40.748###-74.001
40.826,-73.94,40.826###-73.94
40.638,-74.074,40.638###-74.074
40.731,-73.865,40.731###-73.865
40.811,-73.914,40.811###-73.914
40.602,-73.751,40.602###-73.751
40.646,-74.002,40.646###-74.002
40.813,-73.939,40.813###-73.939
40.747,-74.005,40.747###-74.005
40.777,-73.975,40.777###-73.975
71.296,-156.766,71.296###-156.766
37.225597,-2.961656,37.225597###-2.961656
37.221439,-2.948975,37.221439###-2.948975
37.209461,-3.022625,37.209461###-3.022625
37.252803,-3.029153,37.252803###-3.029153
27.57,108.5,27.57###108.5
40.417,86.875,40.417###86.875
1.404,103.791,1.404###103.791
42.783,128.2,42.783###128.2
42.4,128.1,42.4###128.1
42.15,128.13,42.15###128.13
42.083,128.067,42.083###128.067
42.05,128.067,42.05###128.067
42.03,128.067,42.03###128.067
0.15,35.52,0.15###35.52
4.1865,114.017,4.1865###114.017
2.982,102.313,2.982###102.313
13.26267,-86.236204,13.26267###-86.236204
9.144279065,-79.86235733,9.144279065###-79.86235733
9.080094077,-79.60782586,9.080094077###-79.60782586
8.908218366,-79.59029284,8.908218366###-79.59029284
9.11663238,-79.70776783,9.11663238###-79.70776783
9.19665471,-79.37076559,9.19665471###-79.37076559
9.205734408,-79.37982378,9.205734408###-79.37982378
9.099057886,-79.86249892,9.099057886###-79.86249892
9.099062226,-79.86249854,9.099062226###-79.86249854
9.117291084,-79.90794328,9.117291084###-79.90794328
9.117236617,-79.88974343,9.117236617###-79.88974343
8.999615,-79.56285,8.999615###-79.56285
8.989456833,-79.55359645,8.989456833###-79.55359645
9.316433187,-79.97105738,9.316433187###-79.97105738
9.253103294,-79.96214191,9.253103294###-79.96214191
9.253074555,-79.95304496,9.253074555###-79.95304496
9.152961446,-79.75312772,9.152961446###-79.75312772
9.152934489,-79.74403565,9.152934489###-79.74403565
9.16200706,-79.75309848,9.16200706###-79.75309848
9.144331143,-79.88056132,9.144331143###-79.88056132
9.1803379,-79.8258414,9.1803379###-79.8258414
9.153322089,-79.86233432,9.153322089###-79.86233432
9.143796136,-79.7167695,9.143796136###-79.7167695
9.135323364,-79.88968474,9.135323364###-79.88968474
9.198266411,-79.78027526,9.198266411###-79.78027526
9.189192805,-79.77120486,9.189192805###-79.77120486
9.143727423,-79.69856642,9.143727423###-79.69856642
9.071699048,-79.78980683,9.071699048###-79.78980683
9.080259764,-79.65330477,9.080259764###-79.65330477
0.0926,34.48,0.0926###34.48
0.0929,34.479,0.0929###34.479
0.1075,34.523,0.1075###34.523
0.1089,34.523,0.1089###34.523
0.1216,34.515,0.1216###34.515
0.1226,34.517,0.1226###34.517
0.0994,34.505,0.0994###34.505
0.0931,34.479,0.0931###34.479
0.0936,34.477,0.0936###34.477
0.1328,34.538,0.1328###34.538
0.1071,34.523,0.1071###34.523
0.1204,34.518,0.1204###34.518
0.1127,34.522,0.1127###34.522
0.1146,34.521,0.1146###34.521
0.0968,34.491,0.0968###34.491
0.0984,34.49,0.0984###34.49
0.1015,34.511,0.1015###34.511
-28.833,153.417,-28.833###153.417
17.746,-88.065,17.746###-88.065
-0.351,-76.058,-0.351###-76.058
17.81,-88.725,17.81###-88.725
-0.693,-77.818,-0.693###-77.818
-23.82,31.44,-23.82###31.44
47.67,-122.353,47.67###-122.353
30.47,-81.67,30.47###-81.67
32.743,-97.356,32.743###-97.356
40.423,-104.709,40.423###-104.709
39.74,-104.98,39.74###-104.98
40.85,-73.867,40.85###-73.867
30.404,-81.643,30.404###-81.643
25.915,-97.497,25.915###-97.497
40.42,-104.69,40.42###-104.69
33.735,-84.374,33.735###-84.374
36.822,-75.98,36.822###-75.98
40.01,-105.271,40.01###-105.271
39.06,-108.55,39.06###-108.55
40.01,-104.271,40.01###-104.271
11.035278,63.845556,11.035278###63.845556
10.461667,66.839444,10.461667###66.839444
9.961667,68.671944,9.961667###68.671944
6.07,61.468889,6.07###61.468889
8.878333,70.491111,8.878333###70.491111
10.399444,66.978889,10.399444###66.978889
68.629961,-149.612633,68.629961###-149.612633
68.571037,-149.565214,68.571037###-149.565214
68.582062,-149.622932,68.582062###-149.622932
68.574,-149.583566,68.574###-149.583566
68.58423333,-149.5836,68.58423333###-149.5836
68.578643,-149.621102,68.578643###-149.621102
68.61818333,-149.596766,68.61818333###-149.596766
68.609717,-149.589645,68.609717###-149.589645
68.61838333,-149.5965,68.61838333###-149.5965
68.57478333,-149.58205,68.57478333###-149.58205
68.6256,-149.59605,68.6256###-149.59605
68.611341,-149.589761,68.611341###-149.589761
68.600601,-149.596398,68.600601###-149.596398
68.587573,-149.590297,68.587573###-149.590297
68.595875,-149.594559,68.595875###-149.594559
68.5684,-149.586245,68.5684###-149.586245
68.61035,-149.599766,68.61035###-149.599766
68.596647,-149.601102,68.596647###-149.601102
68.622,-149.590666,68.622###-149.590666
68.59491667,-149.586316,68.59491667###-149.586316
68.60853333,-149.587633,68.60853333###-149.587633
68.6,-149.576,68.6###-149.576
68.574673,-149.583618,68.574673###-149.583618
68.610781,-149.600742,68.610781###-149.600742
68.86755,-149.03557,68.86755###-149.03557
68.585839,-149.622223,68.585839###-149.622223
68.59133,-149.611542,68.59133###-149.611542
68.59688333,-149.60125,68.59688333###-149.60125
68.578931,-149.579989,68.578931###-149.579989
68.51007,-149.62691,68.51007###-149.62691
68.57366667,-149.5371667,68.57366667###-149.5371667
68.601493,-149.579071,68.601493###-149.579071
68.58357,-149.62384,68.58357###-149.62384
68.628656,-149.599606,68.628656###-149.599606
68.625966,-149.599022,68.625966###-149.599022
68.633064,-149.62827,68.633064###-149.62827
68.633232,-149.61149,68.633232###-149.61149
68.632586,-149.600895,68.632586###-149.600895
68.638624,-149.610737,68.638624###-149.610737
68.63639,-149.594774,68.63639###-149.594774
68.639895,-149.596106,68.639895###-149.596106
68.60895,-149.579074,68.60895###-149.579074
68.98633,-149.89803,68.98633###-149.89803
68.62276,-149.15088,68.62276###-149.15088
68.626672,-149.597844,68.626672###-149.597844
