y,x,lat_lon1
35.6465,139.817,35.6465###139.817
35.6448,139.567,35.6448###139.567
35.4662,139.623,35.4662###139.623
35.4836,139.575,35.4836###139.575
35.6662,139.73,35.6662###139.73
35.6592,139.773,35.6592###139.773
35.5671,139.468,35.5671###139.468
35.7376,139.785,35.7376###139.785
35.7154,139.774,35.7154###139.774
38.0561,140.747,38.0561###140.747
36.0631,140.065,36.0631###140.065
36.0496,140.121,36.0496###140.121
36.0517,140.122,36.0517###140.122
35.7765,138.424,35.7765###138.424
42.91,143.179,42.91###143.179
37.4603,140.97,37.4603###140.97
37.5436,140.857,37.5436###140.857
35.4919,135.734,35.4919###135.734
43.1962,141.776,43.1962###141.776
43.9912,144.241,43.9912###144.241
43.9677,144.233,43.9677###144.233
35.1183,138.937,35.1183###138.937
35.1193,138.937,35.1193###138.937
35.1197,138.938,35.1197###138.938
35.1198,138.938,35.1198###138.938
31.6582,131.385,31.6582###131.385
26.1649,127.768,26.1649###127.768
26.2141,127.665,26.2141###127.665
26.2346,127.708,26.2346###127.708
26.2887,127.746,26.2887###127.746
10.7,124.8,10.7###124.8
11,124.6,11###124.6
32.4,119.42,32.4###119.42
37.2767,126.991,37.2767###126.991
34.2948,134.075,34.2948###134.075
35.7085,139.726,35.7085###139.726
32.8916,-117.238,32.8916###-117.238
38.8,140.67,38.8###140.67
35.6933,139.498,35.6933###139.498
40,116.34,40###116.34
35,114.24,35###114.24
27.6722,85.3242,27.6722###85.3242
27.6694,85.3301,27.6694###85.3301
27.6706,85.3306,27.6706###85.3306
27.6689,85.3289,27.6689###85.3289
27.664,85.3489,27.664###85.3489
27.647,85.3706,27.647###85.3706
27.6444,85.3709,27.6444###85.3709
27.6426,85.3216,27.6426###85.3216
27.6356,85.2978,27.6356###85.2978
27.6758,85.2792,27.6758###85.2792
27.6059,85.3249,27.6059###85.3249
27.6339,85.3189,27.6339###85.3189
27.6621,85.3254,27.6621###85.3254
27.6954,85.3309,27.6954###85.3309
27.6851,85.3,27.6851###85.3
27.6797,85.3306,27.6797###85.3306
36.22,127.23,36.22###127.23
36.22,127.24,36.22###127.24
33.63,114.63,33.63###114.63
35.7012,139.764,35.7012###139.764
44.6306,10.9434,44.6306###10.9434
-74.3307,165.136,-74.3307###165.136
-74.7097,164.101,-74.7097###164.101
44.6224,10.9436,44.6224###10.9436
44.3127,10.7598,44.3127###10.7598
56.5289,16.4912,56.5289###16.4912
44.4248,10.7384,44.4248###10.7384
47.75,-127.76,47.75###-127.76
-8.99,-79.96,-8.99###-79.96
41.18,142.2,41.18###142.2
35.6041,140.131,35.6041###140.131
40.11,-88.23,40.11###-88.23
31.57,120.25,31.57###120.25
33.2,130.3,33.2###130.3
43.3,145.6,43.3###145.6
41.8,140.6,41.8###140.6
41.9,140.9,41.9###140.9
35.8623,139.609,35.8623###139.609
35.6637,139.635,35.6637###139.635
35.6837,139.483,35.6837###139.483
-25.95,153.09,-25.95###153.09
37.59,107.6,37.59###107.6
34.3654,133.215,34.3654###133.215
-8.5569,125.56,-8.5569###125.56
-8.5227,126.988,-8.5227###126.988
33.7,120.3,33.7###120.3
44.34,143.38,44.34###143.38
29.55,121.37,29.55###121.37
31.916,131.42,31.916###131.42
38.6211,-123.134,38.6211###-123.134
38.6214,-123.133,38.6214###-123.133
27.78,126.89,27.78###126.89
35,138.65,35###138.65
36.5956,138.343,36.5956###138.343
32.52,130.44,32.52###130.44
35.02,133.5,35.02###133.5
34.39,132.58,34.39###132.58
43.03,141.21,43.03###141.21
32.51,110.83,32.51###110.83
39.2012,141.54,39.2012###141.54
39.1957,141.535,39.1957###141.535
39.195,141.541,39.195###141.541
39.2021,141.545,39.2021###141.545
39.2004,141.541,39.2004###141.541
39.2009,141.542,39.2009###141.542
39.2014,141.543,39.2014###141.543
39.1947,141.534,39.1947###141.534
39.1953,141.531,39.1953###141.531
39.1945,141.532,39.1945###141.532
39.2019,141.536,39.2019###141.536
39.2022,141.545,39.2022###141.545
39.2003,141.541,39.2003###141.541
35.0251,135.551,35.0251###135.551
35.0251,135.552,35.0251###135.552
34.4822,135.579,34.4822###135.579
34.49,135.581,34.49###135.581
35.02,135.96,35.02###135.96
34.53,135.49,34.53###135.49
34.27,135.25,34.27###135.25
34.54,135.56,34.54###135.56
34.42,135.48,34.42###135.48
34.99,136.49,34.99###136.49
34.84,135.59,34.84###135.59
34.33,135.63,34.33###135.63
35,135.77,35###135.77
34.5,135.51,34.5###135.51
34.83,135.56,34.83###135.56
34.48,135.581,34.48###135.581
34.99,136.53,34.99###136.53
34.84,135.56,34.84###135.56
34.5618,135.771,34.5618###135.771
34.85,135.62,34.85###135.62
35.1556,134.926,35.1556###134.926
35.0957,134.896,35.0957###134.896
37.2,111.53,37.2###111.53
35.2,135.98,35.2###135.98
35.2,135.99,35.2###135.99
35.2,135.1,35.2###135.1
35.2,135.101,35.2###135.101
35.2,135.102,35.2###135.102
35.2,135.103,35.2###135.103
35.2,135.104,35.2###135.104
35.2,135.105,35.2###135.105
35.2,135.106,35.2###135.106
35.2,135.107,35.2###135.107
35.2,135.108,35.2###135.108
35.2,135.109,35.2###135.109
35.2,135.11,35.2###135.11
24.37,123.88,24.37###123.88
31.33,120.42,31.33###120.42
35.5446,139.744,35.5446###139.744
35.544,139.731,35.544###139.731
35.5384,139.704,35.5384###139.704
35.5503,139.704,35.5503###139.704
35.5642,139.682,35.5642###139.682
35.5812,139.671,35.5812###139.671
35.5898,139.665,35.5898###139.665
35.5899,139.66,35.5899###139.66
35.6108,139.624,35.6108###139.624
35.6161,139.608,35.6161###139.608
35.6169,139.596,35.6169###139.596
35.623,139.575,35.623###139.575
35.6368,139.549,35.6368###139.549
35.6392,139.546,35.6392###139.546
35.6499,139.52,35.6499###139.52
35.6539,139.496,35.6539###139.496
35.6533,139.477,35.6533###139.477
35.6557,139.452,35.6557###139.452
35.674,139.428,35.674###139.428
35.6944,139.374,35.6944###139.374
35.6955,139.357,35.6955###139.357
35.7073,139.334,35.7073###139.334
35.7218,139.329,35.7218###139.329
35.7287,139.326,35.7287###139.326
35.7311,139.319,35.7311###139.319
35.7516,139.312,35.7516###139.312
35.7563,139.303,35.7563###139.303
35.7767,139.287,35.7767###139.287
35.7844,139.256,35.7844###139.256
35.7965,139.221,35.7965###139.221
35.8039,139.194,35.8039###139.194
35.8014,139.184,35.8014###139.184
